연번,시도명,시군구명,서비스제공기관명,전화번호,우편번호,주소,,,,
41,대구,북구,북구건강가정·다문화가족지원센터,053-327-2298,41443,대구광역시 북구 칠곡중앙대로 473 조은빌딩 2층,,,,
42,대구,서구 ,서구건강가정·다문화가족지원센터,053-355-8043,41727,대구광역시 서구 옥산로 28,,,,
43,대구,수성구,수성구건강가정·다문화가족지원센터,053-795-4200,42169,대구광역시 수성구 들안로16길 78,,,,
44,대구,중구,중구건강가정지원센터,053-431-1238,41978,대구광역시 중구 남산로 53-1 2층,,,,
45,인천,강화군,강화군건강가정·다문화가족지원센터,032-933-8005,23032,"인천시 강화군 강화읍 북문길 11-1, 2층",,,,
46,인천,계양구,계양구건강가정·다문화가족지원센터,032-547-1015,21040,인천광역시 계양구 계양산로 102번길 5 계양구사회복지회관 3층,,,,
47,인천,남구,인천남구건강가정지원센터,032-875-2995,22212,인천광역시 남구 인하로 100 인하대학교 평생교육원 1층 ,,,,
48,인천,남동구,남동구건강가정·다문화가족지원센터,032-466-8177,21589,"인천광역시 남동구 소래로 645, 2층(만수동, 남동복지관)",,,,
49,인천,동구,인천동구건강가정·다문화가족지원센터,032-760-4902,22511,인천광역시 동구 화도진로 144(여성회관) 1층,,,,
50,인천,부평구,부평구건강가정지원센터,032-508-0166,21377,"인천광역시 부평구 부영로 161, 주안빌딩 3층 309호",,,,
51,인천,서구,서구건강가정·다문화가족지원센터,032-569-1548,22707,인천광역시 서구 경명대로 693번길 6 1층,,,,
52,인천,연수구,연수구건강가정·다문화가족지원센터,032-851-2733,21927,인천시 연수구 청능대로 109 탑피온빌딩 4층 연수구건강가정다문화가족지원센터 ,,,,
53,인천,중구,인천중구건강가정·다문화가족지원센터,032-763-9355,22321,인천광역시 중구 답동 우현로 48 가톨릭회관 2층,,,,
54,광주,광산구,서구건강가정·다문화가족지원센터(광산구),062-959-9336,61999,"광주광역시 서구 상무대로 760(마륵동, 광주도시철도공사지하1층)",,,,
55,광주,남구,사단법인그루터기,062-671-4147,61722,광주광역시 남구 회서로 52번길 19 (주월동),,,,
56,광주,동구,동구건강가정지원센터,062-234-5801,61458,광주광역시 동구 남문로 693번길 14(학동),,,,
57,광주,북구,북구건강가정·다문화가족지원센터,062-461-1335,61093,"광주광역시 북구 하서로 195(양산동,북구건강가정지원센터)",,,,
58,광주,서구,서구건강가정·다문화가족지원센터,062-369-0075,61999,"광주광역시 서구 상무대로 760(마륵동, 광주도시철도공사지하1층)",,,,
59,대전,"동구, 대덕구, 유성구",대전광역시건강가정·다문화가족지원센터,042-252-9993,34014,대전광역시 유성구 테크노6로 40-17(관평동),,,,
60,대전,"서구,중구",배재대학교가족지원센터,042-520-5704,35345,"대전광역시 서구 배재로 155-40, 우남관 103-3호",,,,
61,울산,남구,울산남구건강가정·다문화가족지원센터,052-271-3334,44660,울산광역시 남구 대공원로 84 가족문화센터 A동 3층,,,,
62,울산,동구,동구다문화가족지원센터,052-201-7901,44070,울산광역시 동구 대학길 59 3층,,,,
63,울산,북구,울산북구건강가정·다문화가족지원센터,052-267-3390,44228,"울산광역시 북구 호계로 237, 2층(호계동)",,,,
64,울산,울주군,울산울주군 삼일사회복지재단,052-263-2009,44947,"울산광역시 울주군 삼남면 중평2길 14, 2층",,,,
65,울산,중구,사단법인반올림아이들 중구아이돌봄지원센터,052-212-3315,44455,울산 중구 태화로 263(태화동 110 한라궁전맨션)상가B동 1010호 ,,,,
66,세종,세종시,세종시건강가정·다문화가족지원센터,044-862-9337,30024,세종시 조치원읍 조치원5길 75(여성회관 1층),,,,
67,경기,가평군,가평군건강가정·다문화가족지원센터,031-582-9902,12427,경기도 가평군 가평읍 향교로 38 행정정보관 2층,,,,
68,경기,고양시,고양시건강가정지원센터,031-969-4064,10463,경기도 고양시 덕양구 고양대로 1369번길 44-7,,,,
69,경기,과천시,과천시건강가정지원센터,02-507-0073,13882,경기도 과천시 관악산길 58  과천시건강가정지원센터,,,,
70,경기,광명시,광명시건강가정·다문화가족지원센터,02-2625-0365,14241,경기도 광명시 디지털로 34(철산동 379) 광명시철산별관 노둣돌 1동2층,,,,
71,경기,광주시,광주시건강가정·다문화가족지원센터,031-763-1253,12744,경기도 광주시 통미로 52번길 19번지,,,,
72,경기,구리시,구리시건강가정·다문화가족지원센터,031-551-3133,11923,경기도 구리시 동구릉로 8 건영빌딩3층,,,,
73,경기,군포시,군포시건강가정·다문화가족지원센터,031-392-1816,15829,"경기도 군포시 청백리길 6, 2층 (금정동, 여성회관)",,,,
74,경기,김포시,김포시건강가정지원센터,031-996-5922,10109,경기도 김포시 사우중로 3번길(13-17) 평생학습센터 1층 ,,,,
75,경기,남양주시,남양주시건강가정지원센터,031-590-8211,12249,경기도 남양주시 경춘로 522 남양주시청 제2청사 4층,,,,
76,경기,동두천시,동두천시건강가정·다문화가족지원센터,031-863-3363,11330,경기도 동두천시 중앙로 249 두드림희망센터 2층 ,,,,
77,경기,부천시,부천시건강가정지원센터,070-4457-5463,14596,경기도 부천시 원미구 장말로 107 복사골문화센터 6층,,,,
78,경기,성남시,성남시건강가정지원센터,070-8889-1511,13112,경기도 성남시 수정구 복정로96번길 30-1 (3층),,,,
79,경기,수원시,수원시건강가정지원센터,031-245-1319,16263,경기도 수원시 팔달구 향교로 161(중동4번지) 우림빌딩6층,,,,
80,경기,시흥시,시흥시건강가정지원센터,031-317-4516,14998,경기도 시흥시 새재로 23-1 타워빌딩 3층,,,,
81,경기,안산시,안산시건강가정지원센터,031-501-0340,15294,"경기도 안산시 상록구 충장로 432 (홈플러스 안산점, 별관1층)",,,,
82,경기,안성시,안성시건강가정·다문화가족지원센터,031-674-0130,17590,경기도 안성시 산수유길15 (안성종합사회복지관)3층,,,,
83,경기,안양시,안양시건강가정·다문화가족지원센터,031-8045-5473,14047,경기도 안양시 동안구 동안로 158 동안구청 별관 3층 ,,,,
84,경기,양주시,양주시건강가정지원센터,031-848-5605,11443,경기도 양주시 평화로1475번길39 회천2동행정복지센터 6층(덕계동),,,,
85,경기,양평군,양평군건강가정지원센터,031-775-5955,12562,경기도 양평군 양근로 302-1,,,,
86,경기,여주시,여주시건강가정·다문화가족지원센터,031-886-0322,12631,"경기도 여주시 세종로 61, 현대@ 상가3층",,,,
87,경기,연천군,연천군건강가정지원센터,031-835-0911,11038,"경기도 연천군 전곡읍 온골로 13번길 37, 2층",,,,
88,경기,오산시,오산시건강가정지원센터,031-378-9765,18139,"경기도 오산시 운암로 7, 자원봉사센터 3층",,,,
89,경기,용인시,용인시건강가정·다문화가족지원센터,031-323-7132,16942,경기도 용인시 수지구 법조로 230 용인시종합가족센터 3층,,,,
90,경기,의왕시,의왕시건강가정지원센터,031-441-2075,16007,경기도 의왕시 덕장로19 청계종합사회복지관 4층,,,,
91,경기,의정부시,의정부시건강가정·다문화가족지원센터,031-878-7216,11645,경기도 의정부시 망월로 10-1 사회복지관 2층,,,,
92,경기,이천시,이천YMCA,031-635-0881,17365,경기도 이천시 영창로 163번길 33,,,,
93,경기,파주시,파주시건강가정·다문화가족지원센터,031-949-9163,10923,경기도파주시중앙로229,,,,
94,경기,평택시,평택시건강가정·다문화가족지원센터,031-692-7740,17730,경기도 평택시 서정로 295 북부복지타운 1층,,,,
95,경기,포천시,포천시건강가정·다문화가족지원센터,031-532-2067,11159,경기도 포천시 호국로 1007 대진대학교 대진교육관 지하1층,,,,
96,경기,하남시,하남시건강가정지원센터,031-790-2996,12947,경기도 하남시 덕풍천서로9 하남시종합사회복지관 별관 4층(신장동),,,,
97,경기,화성시,화성시건강가정지원센터,031-267-8783,18372,경기도 화성시 태안로 145 유앤아이센터 4층,,,,
98,강원,강릉시,강릉시어린이집연합회,033-655-4385,25548,강원도 강릉시 용지각길 20번안길 3,,,,
99,강원,고성군,고성군건강가정·다문화가족지원센터,033-681-9335,24729,강원도 고성군 간성로 97 여성회관 1층,,,,
100,강원,동해시,동해시건강가정·다문화가족지원센터,033-535-4555,25755,강원도 동해시 천곡1길 20-3 동해시청 제1별관 1층,,,,
101,강원,삼척시,삼척시건강가정·다문화가족지원센터,033-575-5006,25918,강원도 삼척시 원당로2길 72-6 5F,,,,
102,강원,속초시,속초시건강가정·다문화가족지원센터,033-637-2952,24865,강원도 속초시 도리원길 5 경동대학교 속초캠퍼스 유아교육관 2층,,,,
103,강원,양구군,양구군건강가정·다문화가족지원센터,033-481-8665,24535,강원도 양구군 양구읍 장터길 43,,,,
104,강원,양양군,양양군청 여성가족,033-670-2816,25032,강원도 양양군 양양읍 안산1길 36,,,,
105,강원,영월군,영월군건강가정·다문화가족지원센터,033-375-8402,26232,강원도 영월군 영월읍 단종로 12 4층,,,,
106,강원,원주시,원주시건강가정·다문화가족지원센터,033)747-6012,26481,강원 원주시 예술관길 31.3층,,,,
107,강원,인제군,인제군다문화가족지원센터,033-462-3660,24624,강원도 인제군 인제읍 비봉로44번길 100,,,,
108,강원,정선군,정선군다문화가족지원센터,033-563-3123,26130,강원도 정선군 정선읍 봉양7길16 종합사회복지관3층 ,,,,
109,강원,철원군,철원군다문화가족지원센터,033-452-7754,24049,강원도 철원군 갈말읍 삼부연로 22-1 철원군다문화가족지원센터,,,,
110,강원,춘천시,춘천YMCA,033-255-1006,24255,강원도 춘천시 후석로 379번길 27 1층,,,,
111,강원,태백시,태백시다문화가족지원센터,070-4103-4006,26033,강원도 태백시 해지개길 41 태백시다문화가족지원센터 ,,,,
112,강원,평창군,평창군다문화가족지원센터 ,033-332-0311,25374,강원도 평창군 평창읍 평창중앙로 67 2층 ,,,,
113,강원,홍천군,홍천군다문화가족지원센터,033-432-1935,25-130,강원도 홍천군 홍천읍 너브내길 123 종합사회복지관3층,,,,
114,강원,화천군,강원화천지역자활센터,1577-2514,24115,강원도 화천군 화천읍 상승로8길 15-23,,,,
115,강원,횡성군,횡성군다문화가족지원센터,033-344-3458,25234,"강원도 횡성군 횡성읍 횡성로 379, 3층(횡성군종합보건복지타운)",,,,
116,충북,괴산군,괴산군다문화가족지원센터,043-833-1079,58034,충북 괴산군 괴산읍 금산길3,,,,
117,충북,단양군,단양군다문화가족지원센터,043-421-6203,27011,충북 단양군 단양읍 별곡12길5여성발전센터 2층,,,,
118,충북,보은군,보은군다문화가족지원센터,043-544-5422,28948,"충북 보은군 보은읍 남부로 4515, 2층(거성상가)",,,,
119,충북,영동군,영동군다문화가족지원센터,043-745-3883,29149,충북 영동군 영동읍 성안길 8 (영동군종합회관 내),,,,
120,충북,옥천군,옥천군다문화가족지원센터,043-733-1918,29040,충북 옥천군 옥천읍 중앙로 126 다목적회관 2층,,,,
121,충북,음성군,음성군아이돌봄지원센터,043-877-8836,27636,충북 음성군 금왕읍 금석로65-4,,,,
122,충북,제천시,제천시건강가정·다문화가족지원센터,043-645-9995,27165,충북 제천시 명륜로 13길 3 가톨릭복지관 2층,,,,
123,충북,증평군,증평지역자활센터,043-838-9231,27930,충북 증평군 증평읍 중동길 8 축협3층,,,,
124,충북,진천군,진천군건강가정·다문화가족지원센터,043-537-5434,27831,충북 진천군 진천읍 중앙북 1길 11-10,,,,
125,충북,청주시,청주시건강가정·다문화가족지원센터,043-264-1817,28702,충북 청주시 서원구 무심서로 333,,,,
126,충북,충주시,충주시건강가정지원센터,043-854-2253,27375,충북 충주시 봉현로 251 가톨릭회관 2층,,,,
127,충남,계룡시,계룡시청,042-840-2325,32823,"충남 계룡시 장안로 46, 계룡시청 사회복지실",,,,
128,충남,공주시,공주시건강가정·다문화가족지원센터,041-856-0887,32563,충청남도 공주시 중동 영명학당1길 13 (공주기독교종합사회복지관) 2층,,,,
129,충남,금산군,금산군청,041-750-2764,32733,충청남도 금산군 금산읍 군청길 13  금산군청 (주민복지지원실),,,,
130,충남,논산시,논산시건강가정·다문화가족지원센터,041-733-7862,32974,충남 논산시 관촉로 277번길 23-13 2층,,,,
131,충남,당진시,당진시건강가정지원센터,041-360-3214,31772,충청남도 당진시 수청동 시청1로 38 당진시종합복지타운 4층,,,,
132,충남,보령시,보령시건강가정지원센터,041-935-0131,33459,충청남도 보령시 중앙로 15 인승빌딩 2층 202호(동대동882-3),,,,
133,충남,부여군,부여군청,041-830-2922,33167,충청남도 부여군 부여읍 사비로 32 (여성문화회관1층) 아이돌보미담당,,,,
134,충남,서산시,서산시청,041-660-3079,31974,"충청남도 서산시 관아문길 1, (서산시청 여성가족과)",,,,
135,충남,서천군,서천군건강가정·다문화가족지원센터,041-953-3660,33644,충청남도 서천군 서천읍 서천로 38  2층,,,,
136,충남,아산시,아산시건강가정·다문화가족지원센터,041-548-9772,31508,충청남도 아산시 시민로 467-15 글로벌가족센터 2층,,,,
137,충남,예산군,예산군건강가정지원센터,041-335-1369,32429,충청남도 예산군 예산읍 산성공원2길 15번지 2층,,,,
138,충남,천안시,천안시건강가정지원센터,070-7733-8300,31109,"충청남도 천안시 서북구 성정동 동서대로 129-12, 백석대학빌딩 11층 천안시건강가정지원센터",,,,
139,충남,청양군,청양군다문화가족지원센터,041-944-2334,33332,충청남도 청양군 청양읍 칠갑산로4길 37 선우빌딩 3층,,,,
140,충남,태안군,태안군건강가정·다문화가족지원센터,041-670-2522,32140,충남 태안군 태안읍 백화로 180,,,,
141,충남,홍성군,홍성군건강가정·다문화가족지원센터,041-631-7432,32224,충청남도 홍성군 홍성읍 조양로75번길 17,,,,
142,전북,고창군,고창군청 주민복지실,063-560-8086,56430,전북 고창군·읍 월곡공원 1길 여성회관,,,,
143,전북,군산시,군산시건강가정지원센터,063-443-2514,54090,전라북도 군산시 축동 1길 15-2,,,,
144,전북,김제시,김제시다문화가족지원센터,063-544-6838,54378,전북 김제시 요촌길 45 지평선어울림센터 3층 아이돌봄,,,,
145,전북,남원시,남원시건강가정·다문화가족지원센터,063-635-6700,55760,남원시 용성로 43,,,,
146,전북,무주군,무주군다문화가족지원센터,063-322-1130,55515,전라북도 무주군 무주읍 한풍루로 425,,,,
147,전북,부안군,부안군청 주민행복지원과,063-580-4850,56305,전북 부안군 부안읍 당산로 91,,,,
148,전북,순창군,순창군다문화가족지원센터,070-8859-6515,56047,전북순창군 순창읍 장류로 192(청소년센터)3층,,,,
149,전북,완주군,완주군건강가정·다문화가족지원센터,063-262-0379,55352,"전북 완주군 용진읍 완주로 462-9, 완주가족문화교육원 1층",,,,
150,전북,익산시,익산시건강가정지원센터,063-838-6048,54603,전라북도 익산시 평동로11길 12 남부시장 상가건물 2층,,,,
151,전북,임실군,임실군다문화가족지원센터,063-642-1839,55927,전북 임실군 임실읍 운수로27 (새마을금고) 2층,,,,
152,전북,장수군,장수군자원봉사종합센터,063-351-5019,55633,전북 장수군 장수읍 군청길25 특산물지원센터2층,,,,
153,전북,전주시,전주시건강가정지원센터,063-231-0285,54951,전주시 완산구 서신로 61,,,,
154,전북,정읍시,정읍시건강가정·다문화가족지원센터,063-535-1282,56163,전라북도 정읍시 중앙2길 22,,,,
155,전북,진안군,진안군다문화가족지원센터,063-433-4889,55435,전북 진안군 진안읍 중앙로 28(진안군다문화가족지원센터 3층),,,,
156,전남,강진군,강진군다문화가족지원센터,061-433-9004,59226,전남 강진군 강진읍 사의재길 41,,,,
157,전남,고흥군,고흥군다문화가족지원센터,061-835-5964,59543,전남 고흥군 고흥읍 고흥로 1656,,,,
158,전남,곡성군,곡성군다문화가족지원센터,061-362-5411,57532,전남 곡성군 곡성읍 학정3길 6,,,,
159,전남,광양시,광양시건강가정·다문화가족지원센터,061-797-6890,57777,전남 광양시 중마로 410 커뮤니티센터 6층,,,,
160,전남,구례군,사단법인구례군새마을회,061-782-2514,57650,전남 구례군 구례읍 의료원길 7-4,,,,
161,전남,나주시,나주시아이돌보미지원센터,061-331-3582,582540,전라남도 나주시 죽림길 34,,,,
162,전남,담양군,담양군여성단체협의회,061-381-1821,57335,전라남도 담양군 담양읍 완동길 10-5. 여성회관 ,,,,
163,전남,목포시,목포시건강가정지원센터,061-247-2314,58645,"전라남도 목포시 송림로41번길 11(용해동, 목포대학교목포캠퍼스구음악관2층)",,,,
164,전남,무안군,무안군종합사회복지관,061-287-4888,58574,전남 무안군 일로읍 삼일로 493번지,,,,
165,전남,보성군,보성종합사회복지관,061-852-9848,59455,전남 보성군 보성읍 동인길 18-6,,,,
166,전남,순천시,순천시여성단체협의회,061-743-6100,57941,전남 순천시 호남길86,,,,
167,전남,여수시,여수시건강가정지원센터,061-659-4175,59698,"전라남도 여수시 좌수영로 369-1(미평동, 여성회관)",,,,
168,전남,영광군,영광군다문화가족지원센터,061-351-6801,57047,전남영광군영광읍중앙로 3길6-11 여성문화센터2층,,,,
169,전남,영암군,영암군건강가정·다문화가족지원센터,061-463-2929,58458,전남 영암군 삼호읍 세가래로 88 삼호복지회관2층,,,,
170,전남,완도군,완도군건강가정·다문화가족지원센터,061-552-6900,59120,전남 완도군 완도읍 개포로 34-10,,,,
171,전남,장성군,장성군건강가정·다문화가족지원센터,061-392-0211,57219,전남 장성군 장성읍 충무5길 24. 가정복지회관,,,,
172,전남,장흥군,전남장흥지역자활센터,061-862-0852,59327,전라남도 장흥군 장흥읍 흥성로 17,,,,
173,전남,진도군,진도군다문화가족지원센터,061-543-9994,58926,전남 진도군 진도읍 진도대로 7195(진도여성플라자1층),,,,
174,전남,함평군,사단법인 나비뜰동산,061-322-6339,57143,"전남 함평군 함평읍 함장로1071, 2층",,,,
175,전남,해남군,해남군건강가정·다문화가족지원센터,061-534-0216,59024,전남 해남군 해남읍 북부순환로 10,,,,
176,전남,화순군,화순군건강가정·다문화가족지원센터,070-5055-0918,58116,전남 화순군 화순읍 광덕로 180 부영3차 상가 304호,,,,
177,경북,경산시,경산시건강가정·다문화가족지원센터,053-814-3210,38678,경북 경산시 경산로 131,,,,
178,경북,경주시,동국대학교산학협력단,054-770-2265,38066,경북 경주시 동대로 123 동국대학교 경주캠퍼스 학생회관3층,,,,
179,경북,고령군,고령군여성단체협의회,054-950-6215,40138,"경북 고령군 대가야읍 왕릉로 30, 대가야문화누리 3층(문화누리사무실)",,,,
180,경북,구미시,구미여성인력개발센터,054-457-0544,39232,경북 구미시 송원서로8길 53(구미여성인력개발센터),,,,
181,경북,군위군,군위군다문화가족지원센터,070-7404-1141,39018,경북 군위군 군위읍 중앙길 31-10,,,,
182,경북,김천시,김천시건강가정·다문화가족지원센터,054-431-5475,39541,경북 김천시 공단로152-32(대광동),,,,
183,경북,문경시,문경시다문화가족지원센터,054-555-2514,36978,"경북 문경시 매봉로 65, 4층",,,,
184,경북,봉화군,봉화군다문화가족지원센터,054-674-1771,36238,경북 봉화군 봉화읍 거촌로 12-3,,,,
185,경북,상주시,상주시건강가정·다문화가족지원센터,054-535-2208,37165,경북 상주시 경상대로 3063-10 (무양동),,,,
186,경북,성주군,성주군다문화가족지원센터,054-930-8247,40032,경북 성주군 성주읍 성산9길 45 성주문화예술회관 2층,,,,
187,경북,안동시,안동시건강가정지원센터,054-823-1245,36678,경북 안동시 안기동 제비원로 240-6,,,,
188,경북,영덕군,영덕군다문화가족지원센터,054-730-7382,36414,경북 영덕군 영덕읍 강변길 324,,,,
189,경북,영양군,영양군다문화가족지원센터,054-682-5434,36540,경북 영양군 영양읍 군민회관길 36,,,,
190,경북,영주시,영주시건강가정·다문화가족지원센터,054-638-5431,36068,경북 영주시 명륜길28번길25,,,,
191,경북,영천시,영천시다문화가족지원센터,054-334-2442,38839,"경북 영천시운동장로41,3층(교촌동 277)",,,,
192,경북,예천군,예천군다문화가족지원센터,054-652-2514,36829,경북 예천군 예천읍 충효로 239 베스트프라자A동2층,,,,
193,경북,울릉군,울릉군건강가정·다문화가족지원센터,054-791-1205,40219,경북 울릉군 울릉읍 봉래2길 31,,,,
194,경북,울진군,울진군다문화가족지원센터,054-781-0328,36326,경북 울진군 울진읍 울진북로 496-11(울진군종합복지회관 내),,,,
195,경북,의성군,의성군건강가정·다문화가족지원센터,054-832-5449,37337,경북 의성군 의성읍 후죽1길 21,,,,
196,경북,청도군,청도군건강가정·다문화가족지원센터,054-373-6266,38333,경북 청도군 화양읍 청려로 1846(동천리 457번지) 3층,,,,
197,경북,청송군,청송군다문화가족지원센터,054-870-6794,37433,경북 청송군 금월로 244-30 청송군다문화가족지원센터,,,,
198,경북,칠곡군,칠곡군건강가정·다문화가족지원센터,054-975-0840,39808,"경북 칠곡군 북삼읍 인평1길 54, 새마을회관 2층",,,,
199,경북,포항시,포항시건강가정지원센터,054-244-9009,37738,경북 포항시 북구 칠성로47번길4(남빈동) 선재빌딩 3층,,,,
200,경남,거제시,거제시여성인력개발센터,055-636-2059,53257,경남 거제시 계룡로13길 6(고현동) 거제시여성인력개발센터,,,,
201,경남,거창군,거창군다문화가족지원센터,055-944-1365,50133,경남 거창군 거창읍 아림로 66 종합사회복지관1층,,,,
202,경남,고성군,고성지역자활센터,055-672-6644,52936,경남고성군 고성읍 동외로 156번길 36 (고성종합사회복지관)1층 ,,,,
203,경남,김해시,김해시건강가정지원센터,055-329-6348,50938,"경남 김해시 김해대로 2232, 4층(여객터미널)",,,,
204,경남,남해군,남해여성회,055-864-6615,52425,경남 남해군 남해읍 망운로 150번길 25-6,,,,
205,경남,밀양시,밀양시건강가정·다문화가족지원센터,055-351-4408,50420,밀양시 밀양대로 2089 북부희망나눔봉사센터,,,,
206,경남,사천시,사천YWCA,055-832-4422,52567,사천시 동금로 12 (농협2층),,,,
207,경남,산청군,산청군건강가정·다문화가족지원센터,055-972-1038,52220,산청군 산청읍 꽃봉산로 79번길 31-3,,,,
208,경남,양산시,양산시 여성복지센터,055-392-2518,50623,"경상남도 양산시 옥곡7길,26 양산시여성복지센터",,,,
209,경남,의령군,의령군건강가정·다문화가족지원센터,070-4267-3584,52151,"경상남도 의령군 의령읍 의병로8길 44, 종합사회복지관 3층",,,,
210,경남,진주시,진주시건강가정지원센터,055-749-2343,52676,경상남도 진주시 진양호로 305 진주시건강가정지원센터,,,,
211,경남,창녕군,창녕성건강가정상담소 ,055-521-1367,50322,경남 창녕군 창녕읍 창녕대로 172,,,,
212,경남,창원시,창원여성인력개발센터,055-283-3226,51491,"경남 창원시 성산구 대정로20번길 11, 창원시여성회관 창원관 2층",,,,
213,경남,창원시 마산,마산여성인력개발센터,055-231-5868,51230,"경상남도 창원시 마산회원구 내서읍 광려천서로 57, 광림빌딩2층 ",,,,
214,경남,창원시 진해구,진해여성인력개발센터,055-551-4436,51685,경상남도 창원시 진해구 충장로 140(진해여성인력개발센터 3층),,,,
215,경남,통영시,통영시건강가정·다문화가족지원센터,055-640-7743,53038,통영시 무전동 안개4길 94,,,,
